visual_id,x,y,width,height,measure,client,layout_lane,filter_context,description,source_class,upstream_tables,audit_note
9ebdb4ca8503158af84f,6628.333,1840.0,126.667,53.333,T-LPP2,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Pintura,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

72636f09f37e9cf45c7b,7362.5,1840.0,125.0,55.0,T-SCA-REB,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Scania Rebitagem,MISTO: banco + parâmetro,Máquinas; SCANIA,

303566a8f2cb4dad05a1,8468.333,1840.0,126.667,53.333,T-STJ,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Stenhoj,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA,

35a16312245827724853,1546.0,1842.0,124.0,54.0,T-RF3,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Rollformer 3,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

6b5db5c79e8d8f6ce279,2330.0,1842.0,122.0,54.0,T-B3,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Beatty 3,MISTO: banco + parâmetro,Máquinas; SCANIA,

77c8d99773185df1f87d,3522.0,1842.0,1420.0,54.0,T-P.A,Scania,Scania — tempo de processo,Calendar[Date],Tempo de P.A,MISTO: banco + parâmetro,FH; Máquinas; SCANIA,

0f4388a8575edffe035b,8036.667,1843.333,126.667,53.333,T-STJ,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Stenhoj,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA,

d0c2bcea49564663e26f,1984.0,1844.0,124.0,54.0,T-M3,Scania,Scania — tempo de processo,Calendar[Date],Tempo Mesa 3,CONSTANTE ou medida derivada,,

c15204b798fc6272d520,2840.0,1847.5,130.0,52.5,T-B3,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Beatty 3,MISTO: banco + parâmetro,Máquinas; SCANIA,

67151615a82deb6471f8,2448.0,1892.0,396.0,70.0,D-E-SCA-B,Scania,Scania — estoque/logística,,Dias de Estoque Scania Beattys,BANCO/CÁLCULO,SCANIA,

7b9aacdde687b73c4e43,2967.5,1895.0,255.0,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

1214672b3184dd4c7be3,1290.0,1898.0,256.0,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

8684d41f23c0a8c8e4f1,9710.0,1898.333,181.667,61.667,T-T-SCA,Scania,Scania — estoque/logística,,Tempo Total Scania,MISTO: banco + parâmetro,Calendar; DAF SLITTERS; Dados de embarque; FH; Lotes; MP; Operações; SCANIA; Segregacao; VM,

5dcaf9a965ec4a30ddc5,3311.429,1900.0,214.286,60.0,D-E-SCA-P.A,Scania,Scania — estoque/logística,,Dias de Estoque Scania P.A,BANCO/CÁLCULO,SCANIA,

0e3ceb74217fde5a4a37,7490.0,1900.0,255.0,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

834f95033d2ba9ac5ac4,7770.0,1900.0,255.0,60.0,E-P-D-SCA-STJ,Scania,Scania — estoque/logística,Operações[Dados ]=Ag. Stenhøj,Estoque em Peças em Dias Scania Stenhoj,BANCO/CÁLCULO,Calendar; SCANIA,

fc5e6dc1c85cabedee85,8596.667,1900.0,256.667,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

8d8b821734da3e0688f9,6893.0,1901.5,256.0,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

9f3b86ce5bb179284ddb,7095.0,1902.5,257.5,60.0,D-E-SCA-REB,Scania,Scania — estoque/logística,,Dias de Estoque Scania Rebitagem,BANCO/CÁLCULO,SCANIA,

22a09580fbe361e06c5e,9220.0,1903.333,256.667,60.0,T-M,Scania,Scania — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

9ed7d4481b145bb08713,9586.667,1903.333,126.667,53.333,E-P-D-SCA-EMB,Scania,Scania — estoque/logística,"Operações[Dados ]=Ag. Emb1,Estoque FG; Dados de embarque[Data]",Estoque em Peças em Dias Scania Embalagem,BANCO/CÁLCULO,Calendar; SCANIA,

3aba8d849e6f8f88bb90,366.0,1906.0,274.0,60.0,T-T,Scania,Scania — estoque/logística,MP[Cliente]=FH,Tempo de Transporte em Dias,CONSTANTE ou medida derivada,,

90c34a3964270636140b,6008.0,1908.0,128.0,54.0,D-E-SCA-CL,Scania,Scania — estoque/logística,,Dias de Estoque Scania Cantilever,BANCO/CÁLCULO,SCANIA,

7ee6d5195db93e104637,244.286,1908.571,112.857,52.857,T-B,Scania,Scania — estoque/logística,,Tempo Beneficiador,CONSTANTE ou medida derivada,,

000b641b491e04688abc,1668.333,1910.0,145.0,53.333,E-P-D-SCA-RF3,Scania,Scania — estoque/logística,Operações[Dados ]=Roll Former 3,Estoque em Peças em Dias na Scania Pós Rollformer 3,BANCO/CÁLCULO,Calendar; SCANIA,

